response_id,product,model,rank,product_raw,code,amount_reported,amount_unit,amount_currency,amount_chf,unit_basis,amount_note,share,alloc_basis,n_lines,response_uid,condition,prompt_key,attrs,budget_chf,risk_value,term_value,env_value,has_budget,has_risk,has_term,has_environment,category,tier
6,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,0.1,currency,USD,0.1,reported,,0.09999999999999999,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-term_environment,exchanges-general-term_environment#10,term_environment,,,three to ten years,crisis,False,False,True,True,US-listed CEX,US regulated
6,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,0.4,currency,USD,0.4,reported,,0.39999999999999997,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-term_environment,exchanges-general-term_environment#10,term_environment,,,three to ten years,crisis,False,False,True,True,US-listed CEX,US regulated
7,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,,unparsed,,,none,,0.2,rank_imputed,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-term_environment,exchanges-general-term_environment#12,term_environment,,,three to ten years,recovery,False,False,True,True,EU-regulated CEX,EU regulated
7,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,,unparsed,,,none,,0.26666666666666666,rank_imputed,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-term_environment,exchanges-general-term_environment#12,term_environment,,,three to ten years,recovery,False,False,True,True,US-listed CEX,US regulated
7,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,,unparsed,,,none,,0.13333333333333333,rank_imputed,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-term_environment,exchanges-general-term_environment#12,term_environment,,,three to ten years,recovery,False,False,True,True,US-listed CEX,US regulated
7,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,,unparsed,,,none,,0.39999999999999997,rank_imputed,2,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-term_environment,exchanges-general-term_environment#12,term_environment,,,three to ten years,recovery,False,False,True,True,US-listed CEX,US regulated
8,Bitstamp,Claude Haiku 4.5,4,Bitstamp,BITSTAMP,,unparsed,,,none,,0.13333333333333333,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-risk,exchanges-general-risk#2,risk,,risk-neutral,,,False,True,False,False,EU-regulated CEX,EU regulated
8,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,,unparsed,,,none,,0.26666666666666666,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-risk,exchanges-general-risk#2,risk,,risk-neutral,,,False,True,False,False,US-listed CEX,US regulated
8,Gemini,Claude Haiku 4.5,3,Gemini,GEMINI,,unparsed,,,none,,0.2,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-risk,exchanges-general-risk#2,risk,,risk-neutral,,,False,True,False,False,US-listed CEX,US regulated
8,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,,unparsed,,,none,,0.39999999999999997,rank_imputed,2,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-risk,exchanges-general-risk#2,risk,,risk-neutral,,,False,True,False,False,US-listed CEX,US regulated
10,Bitstamp,Claude Haiku 4.5,4,Bitstamp,BITSTAMP,,unparsed,,,none,,0.1,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-risk,exchanges-general-risk#1,risk,,risk-averse,,,False,True,False,False,EU-regulated CEX,EU regulated
10,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,,unparsed,,,none,,0.3,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-risk,exchanges-general-risk#1,risk,,risk-averse,,,False,True,False,False,US-listed CEX,US regulated
10,Gemini,Claude Haiku 4.5,3,Gemini,GEMINI,,unparsed,,,none,,0.2,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-risk,exchanges-general-risk#1,risk,,risk-averse,,,False,True,False,False,US-listed CEX,US regulated
10,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,,unparsed,,,none,,0.4,rank_imputed,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-risk,exchanges-general-risk#1,risk,,risk-averse,,,False,True,False,False,US-listed CEX,US regulated
11,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#1,budget_risk_term,100.0,risk-averse,less than one year,,True,True,True,False,EU-regulated CEX,EU regulated
11,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#1,budget_risk_term,100.0,risk-averse,less than one year,,True,True,True,False,US-listed CEX,US regulated
11,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|1,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#1,budget_risk_term,100.0,risk-averse,less than one year,,True,True,True,False,US-listed CEX,US regulated
13,Binance,Claude Haiku 4.5,1,Binance,BINANCE,40000.0,currency,USD,40000.0,reported,,0.32,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,Global CEX,Global / offshore
13,Bybit,Claude Haiku 4.5,2,Bybit,BYBIT,25000.0,currency,USD,25000.0,reported,,0.2,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,Global CEX,Global / offshore
13,Deribit,Claude Haiku 4.5,6,Deribit,DERIBIT,8000.0,currency,USD,8000.0,reported,,0.064,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,Derivatives venue,Global / offshore
13,Gate.io,Claude Haiku 4.5,5,Gate.io,GATEIO,10000.0,currency,USD,10000.0,reported,,0.08,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,Global CEX,Global / offshore
13,Hyperliquid,Claude Haiku 4.5,7,Hyperliquid,HYPERLIQUID,7000.0,currency,USD,7000.0,reported,,0.056,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,On-chain / DEX,Non-custodial
13,KuCoin,Claude Haiku 4.5,4,Kucoin,KUCOIN,15000.0,currency,USD,15000.0,reported,,0.12,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,Global CEX,Global / offshore
13,OKX,Claude Haiku 4.5,3,OKX,OKX,20000.0,currency,USD,20000.0,reported,,0.16,reported,1,exchanges-general-risk|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-risk,exchanges-general-risk#3,risk,,risk-seeking,,,False,True,False,False,Global CEX,Global / offshore
14,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#3,budget_risk_term,100.0,risk-averse,three to ten years,,True,True,True,False,EU-regulated CEX,EU regulated
14,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#3,budget_risk_term,100.0,risk-averse,three to ten years,,True,True,True,False,US-listed CEX,US regulated
14,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,50.0,currency,CHF,50.0,prompt,,0.5,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|3,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#3,budget_risk_term,100.0,risk-averse,three to ten years,,True,True,True,False,US-listed CEX,US regulated
15,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#2,budget_risk_term,100.0,risk-averse,one to three years,,True,True,True,False,EU-regulated CEX,EU regulated
15,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#2,budget_risk_term,100.0,risk-averse,one to three years,,True,True,True,False,US-listed CEX,US regulated
15,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,50.0,currency,CHF,50.0,prompt,,0.5,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|2,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#2,budget_risk_term,100.0,risk-averse,one to three years,,True,True,True,False,US-listed CEX,US regulated
16,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#4,budget_risk_term,100.0,risk-neutral,less than one year,,True,True,True,False,EU-regulated CEX,EU regulated
16,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#4,budget_risk_term,100.0,risk-neutral,less than one year,,True,True,True,False,US-listed CEX,US regulated
16,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,50.0,currency,CHF,50.0,prompt,,0.5,reported,2,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#4,budget_risk_term,100.0,risk-neutral,less than one year,,True,True,True,False,US-listed CEX,US regulated
17,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|5,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#5,budget_risk_term,100.0,risk-neutral,one to three years,,True,True,True,False,EU-regulated CEX,EU regulated
17,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|5,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#5,budget_risk_term,100.0,risk-neutral,one to three years,,True,True,True,False,US-listed CEX,US regulated
17,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,10.0,currency,CHF,10.0,prompt,,0.1,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|5,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#5,budget_risk_term,100.0,risk-neutral,one to three years,,True,True,True,False,US-listed CEX,US regulated
17,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|5,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#5,budget_risk_term,100.0,risk-neutral,one to three years,,True,True,True,False,US-listed CEX,US regulated
18,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|6,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#6,budget_risk_term,100.0,risk-neutral,three to ten years,,True,True,True,False,EU-regulated CEX,EU regulated
18,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|6,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#6,budget_risk_term,100.0,risk-neutral,three to ten years,,True,True,True,False,US-listed CEX,US regulated
18,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,10.0,currency,CHF,10.0,prompt,,0.1,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|6,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#6,budget_risk_term,100.0,risk-neutral,three to ten years,,True,True,True,False,US-listed CEX,US regulated
18,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|6,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#6,budget_risk_term,100.0,risk-neutral,three to ten years,,True,True,True,False,US-listed CEX,US regulated
19,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,300.0,currency,CHF,300.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#10,budget_risk_term,1000.0,risk-averse,less than one year,,True,True,True,False,EU-regulated CEX,EU regulated
19,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,300.0,currency,CHF,300.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#10,budget_risk_term,1000.0,risk-averse,less than one year,,True,True,True,False,US-listed CEX,US regulated
19,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,400.0,currency,CHF,400.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#10,budget_risk_term,1000.0,risk-averse,less than one year,,True,True,True,False,US-listed CEX,US regulated
20,Binance,Claude Haiku 4.5,1,Binance,BINANCE,50.0,currency,CHF,50.0,prompt,,0.5,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#7,budget_risk_term,100.0,risk-seeking,less than one year,,True,True,True,False,Global CEX,Global / offshore
20,Coinbase,Claude Haiku 4.5,3,Coinbase Pro,COINBASE,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#7,budget_risk_term,100.0,risk-seeking,less than one year,,True,True,True,False,US-listed CEX,US regulated
20,Kraken,Claude Haiku 4.5,2,Kraken,KRAKEN,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#7,budget_risk_term,100.0,risk-seeking,less than one year,,True,True,True,False,US-listed CEX,US regulated
21,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,300.0,currency,CHF,300.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|11,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#11,budget_risk_term,1000.0,risk-averse,one to three years,,True,True,True,False,EU-regulated CEX,EU regulated
21,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,300.0,currency,CHF,300.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|11,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#11,budget_risk_term,1000.0,risk-averse,one to three years,,True,True,True,False,US-listed CEX,US regulated
21,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,400.0,currency,CHF,400.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|11,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#11,budget_risk_term,1000.0,risk-averse,one to three years,,True,True,True,False,US-listed CEX,US regulated
22,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#9,budget_risk_term,100.0,risk-seeking,three to ten years,,True,True,True,False,EU-regulated CEX,EU regulated
22,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#9,budget_risk_term,100.0,risk-seeking,three to ten years,,True,True,True,False,US-listed CEX,US regulated
22,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,10.0,currency,CHF,10.0,prompt,,0.1,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#9,budget_risk_term,100.0,risk-seeking,three to ten years,,True,True,True,False,US-listed CEX,US regulated
22,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#9,budget_risk_term,100.0,risk-seeking,three to ten years,,True,True,True,False,US-listed CEX,US regulated
23,Binance,Claude Haiku 4.5,3,Binance,BINANCE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|8,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#8,budget_risk_term,100.0,risk-seeking,one to three years,,True,True,True,False,Global CEX,Global / offshore
23,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|8,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#8,budget_risk_term,100.0,risk-seeking,one to three years,,True,True,True,False,US-listed CEX,US regulated
23,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|8,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#8,budget_risk_term,100.0,risk-seeking,one to three years,,True,True,True,False,US-listed CEX,US regulated
24,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,200.0,currency,CHF,200.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#12,budget_risk_term,1000.0,risk-averse,three to ten years,,True,True,True,False,EU-regulated CEX,EU regulated
24,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,300.0,currency,CHF,300.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#12,budget_risk_term,1000.0,risk-averse,three to ten years,,True,True,True,False,US-listed CEX,US regulated
24,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,500.0,currency,CHF,500.0,prompt,,0.5,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|12,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#12,budget_risk_term,1000.0,risk-averse,three to ten years,,True,True,True,False,US-listed CEX,US regulated
25,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,200.0,currency,CHF,200.0,prompt,,0.2,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|13,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#13,budget_risk_term,1000.0,risk-neutral,less than one year,,True,True,True,False,EU-regulated CEX,EU regulated
25,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,300.0,currency,CHF,300.0,prompt,,0.3,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|13,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#13,budget_risk_term,1000.0,risk-neutral,less than one year,,True,True,True,False,US-listed CEX,US regulated
25,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,100.0,currency,CHF,100.0,prompt,,0.1,reported,1,exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|13,exchanges-general-budget_risk_term,exchanges-general-budget_risk_term#13,budget_risk_term,1000.0,risk-neutral,less than one year,,True,True,True,False,US-listed CEX,US regulated
